millis,brake_active,aX,aY,aZ,tmp,gX,gY,gZ
81913,0,7016,-14276,8564,19.17,-62,-511,-1098
81923,0,7740,-13964,9168,19.07,61,-350,-1001
81933,0,7704,-13604,10020,19.02,14,-433,-846
81944,0,7368,-13896,9500,19.17,-52,-421,-771
81966,0,7576,-13628,10036,19.12,-298,-215,-348
81976,0,6892,-13184,9808,19.07,-449,-110,-219
81987,0,6436,-13456,8556,19.12,-317,225,-61
81997,0,6440,-13548,7896,19.17,55,757,195
82009,0,6220,-13376,9352,19.12,48,516,399
82020,0,5588,-13204,9524,19.02,-29,39,510
82030,0,4680,-13248,9696,19.07,-155,-237,536
82040,0,4356,-13012,9900,19.02,-311,-288,459
82050,0,5128,-12344,8924,19.07,-293,-180,426
82060,0,5008,-11520,8812,19.02,-336,-239,550
82071,0,5020,-10520,9628,19.07,-619,-423,718
82081,0,4604,-9796,9568,19.17,-952,-795,765
82094,0,4308,-9620,9564,19.07,-1345,-1169,856
82104,0,3972,-9536,9932,19.17,-1702,-1337,792
82114,0,3848,-9508,9500,19.07,-2063,-1483,761
82124,0,3556,-9372,9156,19.12,-2358,-1413,797
82135,0,3412,-8992,9132,19.17,-2531,-1427,812
82145,0,3552,-9036,9616,19.02,-2682,-1826,762
82155,0,3388,-9304,10340,19.17,-2853,-2435,785
82165,0,3624,-9924,10668,19.12,-3094,-2844,893
82178,0,4432,-10824,10816,19.02,-3236,-3048,1104
82192,0,5388,-12012,9816,19.17,-3043,-2960,1582
82207,0,6248,-13056,10320,19.07,-2612,-2707,2075
82222,0,5800,-13880,10624,19.07,-2438,-2829,2343
82236,0,6380,-14676,11584,19.12,-2398,-2650,2381
82250,0,6216,-15304,11772,19.02,-2048,-2220,2283
82263,0,6392,-15280,11708,19.07,-1481,-1628,2227
82276,0,6220,-15840,12316,19.07,-898,-1173,2103
82290,0,6792,-16020,11684,19.02,-465,-624,2105
82327,0,6556,-14264,11396,19.07,-472,-352,2022
82336,0,6440,-13508,11696,19.07,-797,-483,2039
82346,0,6532,-12752,11804,19.02,-1227,-414,2108
82356,0,6060,-12268,10388,19.07,-1600,-187,2190
82366,0,5352,-11428,9624,19.07,-1565,-217,2314
82375,0,5248,-11116,9652,19.02,-1447,-31,2572
82385,0,4560,-10652,9796,19.07,-1356,-100,2744
82395,0,4256,-10708,9632,19.12,-1172,-91,2853
82407,0,3388,-10668,8576,19.02,-820,-53,2831
82417,0,2928,-10892,8588,19.02,-620,-58,2699
82427,0,2448,-10976,7848,18.98,-146,-171,2595
82437,0,2596,-11380,8552,19.07,272,-346,2504
82447,0,3032,-11668,9672,19.12,349,-676,2533
82457,0,3200,-11896,9964,19.07,112,-915,2538
82467,0,3188,-11988,9640,19.07,20,-1082,2563
82477,0,3052,-12464,8164,19.07,199,-1124,2616
82490,0,3252,-12296,8520,19.12,511,-1044,2674
82501,0,3484,-12368,8980,19.12,518,-1207,2631
82511,0,3856,-12728,8740,19.12,319,-1480,2563
82521,0,4056,-12992,9616,19.02,329,-1736,2511
82531,0,4316,-14256,9496,19.12,264,-1550,2347
82541,0,3972,-14932,9008,19.02,8,-1123,2155
82551,0,4364,-15180,8584,19.02,-6,-782,1861
82561,0,4856,-15448,8244,19.02,49,-514,1597
82573,0,5228,-15596,7096,19.12,95,-191,1448
82583,0,4772,-15204,7440,19.02,200,-52,1254
82593,0,5464,-14572,9160,19.02,14,-271,1032
82603,0,5496,-13768,11212,19.12,-449,-588,849
82626,0,4204,-12920,9556,18.98,-677,51,341
82636,0,3868,-13128,9664,19.07,-496,743,152
82646,0,4012,-12584,8884,19.02,-828,1217,-90
82656,0,4092,-11844,8896,19.17,-1102,1232,-287
82667,0,3620,-11240,9012,19.02,-1176,1009,-533
82679,0,2848,-11244,9248,19.07,-1243,915,-918
82690,0,2556,-11324,9456,19.07,-1514,1134,-1395
82700,0,3056,-10952,10184,19.17,-2067,1078,-1770
82710,0,3352,-10424,11084,19.07,-2479,699,-2043
82720,0,3376,-10924,10244,19.02,-2628,688,-2277
82730,0,2548,-11064,9760,19.12,-2702,1068,-2572
82741,0,2700,-11028,11160,19.02,-2676,1412,-2896
82751,0,3360,-11160,10752,18.98,-2830,1532,-3117
82763,0,3024,-10936,9432,18.98,-2887,1850,-3269
82773,0,1796,-10744,10072,18.98,-2693,1891,-3592
82784,0,2232,-11488,9592,19.07,-2373,2100,-3869
82794,0,2504,-12092,9108,19.12,-1983,2181,-4040
82804,0,3456,-12752,9992,19.12,-1829,1793,-4174
82814,0,4112,-13956,11376,18.98,-1761,1218,-4214
82825,0,4500,-15020,10372,18.98,-1658,808,-4193
82835,0,4360,-16288,10068,18.93,-1223,861,-4111
82847,0,4428,-16336,11888,18.98,-609,1177,-3997
82858,0,5052,-16668,10972,19.12,-329,1617,-3732
82868,0,5272,-16268,10424,19.07,31,2038,-3439
82878,0,3060,-15380,10660,19.02,554,1870,-3086
82888,0,5988,-15516,13004,19.07,749,1416,-2757
82899,0,4352,-14552,11556,18.98,203,1202,-2376
82909,0,3812,-14604,9168,18.98,754,1241,-2162
82933,0,3572,-13860,9764,19.07,1373,557,-1827
82943,0,3892,-12748,10144,18.98,1035,-208,-1827
82955,0,3160,-11764,9584,19.07,702,-988,-1875
82966,0,2708,-10584,9504,19.07,548,-1102,-1899
82976,0,2784,-9828,9552,19.17,627,-1279,-1936
82986,0,3584,-9704,9180,19.17,654,-1287,-1863
82996,0,4056,-9392,8968,19.02,1214,-1134,-1824
83006,0,4652,-9480,9156,18.98,1770,-1034,-1540
83016,0,5256,-10036,10884,19.07,2062,-1131,-1269
83026,0,5296,-10760,11424,18.98,1853,-1096,-1018
83046,0,4768,-10688,10556,19.07,1643,-1033,-800
83056,0,4756,-10960,10908,19.17,1592,-768,-745
83066,0,4884,-11392,10284,19.07,1514,-620,-804
83076,0,5288,-12364,10120,19.02,1278,-424,-908
83086,0,6180,-12792,9608,19.07,988,-350,-884
83096,0,6424,-13092,10320,19.07,883,-771,-888
83107,0,6992,-13680,10340,19.02,674,-1027,-872
83117,0,7264,-13980,10616,19.12,557,-973,-814
83129,0,7676,-14404,10992,19.07,432,-596,-691
83139,0,7600,-14464,10568,19.07,261,-410,-551
83150,0,7812,-14584,9704,19.17,138,-260,-400
83160,0,7380,-14172,10200,19.12,-21,-213,-227
83170,0,6700,-13496,10516,18.98,-284,-381,-81
83180,0,5984,-12884,11300,19.02,-602,-455,-10
83190,0,5368,-12448,10180,19.07,-871,-383,27
83200,0,4828,-11828,9688,19.02,-837,-297,102
83213,0,4800,-11548,9864,19.02,-826,-559,156
83236,0,4100,-11260,9560,18.98,-1345,-1211,234
83246,0,3912,-11068,10252,19.07,-1541,-1480,182
83256,0,4508,-10868,9992,19.07,-1923,-1573,147
83266,0,4672,-10372,9900,19.07,-2380,-1346,104
83276,0,4368,-10148,9664,19.02,-2409,-1347,51
83287,0,4452,-9976,8940,19.07,-2404,-1333,174
83297,0,4872,-9956,8508,19.07,-2442,-1229,356
83307,0,4980,-9784,8340,19.17,-2566,-1180,567
83320,0,4504,-9980,8848,19.07,-2788,-1605,739
83330,0,3852,-10260,9860,19.02,-3009,-2106,854
83341,0,3672,-10980,9884,19.12,-3162,-2248,854
83351,0,4272,-11172,9604,19.07,-3041,-2111,1065
83361,0,4544,-11824,9656,19.02,-2734,-1960,1294
83371,0,4240,-12296,11024,18.98,-2585,-1819,1422
83381,0,4332,-13136,12048,19.02,-2495,-1887,1410
83391,0,5104,-13876,10796,18.98,-2186,-1652,1551
83404,0,5520,-14472,10936,19.02,-2079,-1562,1472
83414,0,5612,-14652,10680,18.98,-1880,-1564,1402
83424,0,5448,-14760,11148,19.12,-1640,-1524,1361
83435,0,5280,-14968,12696,19.07,-1631,-1551,1172
83445,0,6212,-15740,11816,19.07,-1445,-1228,1171
83455,0,6360,-15616,11436,19.07,-1139,-775,1151
83465,0,6184,-15196,11968,19.12,-980,-671,1194
83475,0,6040,-14648,11156,19.12,-736,-341,1234
83488,0,5268,-13816,11144,19.12,-533,-226,1179
83498,0,5064,-13400,10140,19.02,-429,-14,1200
83509,0,5408,-12864,8904,19.12,-312,178,1160
83519,0,4936,-11920,9704,18.98,-301,133,1077
83542,0,4748,-11008,10176,19.02,-846,85,819
83553,0,3924,-11124,9888,18.98,-714,457,755
83563,0,4580,-11408,9268,19.12,-561,1018,799
83573,0,3868,-11096,8116,19.02,-212,1622,871
83586,0,3028,-10648,9764,19.07,278,1451,800
83596,0,3164,-11424,10412,19.17,485,1190,808
83606,0,3300,-12304,9984,19.02,498,1088,894
83616,0,3644,-12148,10744,18.98,290,1021,967
83627,0,3588,-11960,11896,19.07,144,684,1065
83637,0,3748,-11828,11676,19.12,-47,562,1166
83647,0,3436,-12616,11156,18.98,29,908,1278
83657,0,3464,-13256,9056,19.07,114,1288,1366
83668,0,3836,-13244,9068,19.02,43,1527,1490
83681,0,3320,-13764,8580,19.12,125,1345,1564
83695,0,3652,-15164,8396,19.02,174,847,1614
83709,0,4460,-15812,8416,19.02,35,147,1564
83724,0,4112,-16724,9584,19.02,177,-475,1343
83739,0,4616,-16672,8652,19.07,-64,-546,1002
83752,0,4260,-14528,9284,19.07,-215,-416,713
83765,0,4212,-13324,10140,19.07,-533,-707,400
83779,0,3756,-12520,10616,18.98,-439,-569,155
83801,0,4400,-14332,10036,19.07,-370,1161,72
83810,0,4412,-13936,10328,19.02,-678,1430,103
83820,0,3620,-13308,10596,19.17,-977,1189,-32
83830,0,2944,-12448,11004,19.07,-1300,653,-298
83840,0,2980,-12292,10152,19.12,-1668,207,-648
83849,0,2736,-11340,9144,18.98,-1843,96,-930
83859,0,2288,-10868,8952,19.07,-1826,50,-1205
83869,0,2756,-10784,9140,19.02,-1954,41,-1488
83894,0,1944,-9308,10468,19.07,-1957,380,-2013
83904,0,2232,-9572,11496,19.07,-2387,394,-2276
83914,0,2428,-9504,10380,18.98,-2746,339,-2493
83924,0,2152,-8916,10528,19.12,-2726,576,-2603
83934,0,2272,-9248,11252,19.07,-2500,697,-2870
83944,0,2784,-10400,11588,19.07,-2397,903,-3082
83954,0,3136,-11932,10120,19.07,-2265,1398,-3084
83964,0,3604,-12800,9968,19.07,-2055,1738,-3058
83977,0,4560,-14108,11612,18.88,-1479,1493,-2953
83987,0,4844,-15568,12048,19.02,-1032,1353,-2877
83997,0,5044,-16528,11652,19.12,-829,1582,-2785
84007,0,4592,-16220,11820,19.02,-694,2117,-2563
84017,0,4240,-16356,12092,19.07,-346,2448,-2349
84027,0,3760,-15496,11916,19.07,-179,2602,-2160
84037,0,3172,-14684,11168,18.98,-55,2533,-2006
84047,0,2608,-13628,10444,18.98,195,2306,-1928
84057,0,2400,-13028,11196,19.07,160,1629,-2049
84069,0,2544,-13108,10688,19.02,-21,990,-2232
84080,0,2760,-12372,8752,19.02,-99,498,-2311
84090,0,2812,-11628,9200,19.02,-269,101,-2316
84100,0,3300,-11072,8936,19.12,-252,-257,-2255
84110,0,3512,-10652,7908,19.02,63,-407,-2146
84120,0,4076,-10052,7660,19.12,423,-431,-2087
84130,0,4736,-9424,8736,19.02,609,-451,-1895
84140,0,5008,-9228,10080,19.02,541,-593,-1658
84152,0,5068,-10168,10508,19.07,473,-611,-1625
84162,0,5344,-10880,9976,19.02,376,-199,-1474
84172,0,5508,-11628,9872,19.02,652,204,-1256
84195,0,5124,-13056,11396,19.12,678,905,-1033
84205,0,4764,-13224,11328,19.07,285,946,-1054
84215,0,4384,-13652,10064,19.07,24,755,-1095
84226,0,4612,-13552,9740,18.98,65,489,-1145
84236,0,5528,-14028,9544,19.07,277,241,-1101
84248,0,6092,-14372,9888,19.07,420,-18,-918
84258,0,6288,-14548,10252,19.12,433,-191,-765
84268,0,5788,-14196,10264,18.98,303,-309,-537
84279,0,5708,-13504,9532,19.12,260,-221,-309
84289,0,5096,-12716,9688,19.07,330,-234,-130
84299,0,4876,-12304,10232,19.02,325,-407,-103
84309,0,4968,-11900,10496,19.02,216,-366,-3
84319,0,5092,-11460,10016,19.07,135,-221,118
84333,0,4848,-11232,9740,19.07,-47,-41,309
84343,0,4036,-10724,10252,19.12,-200,117,521
84353,0,3432,-10428,10340,18.98,-365,-16,651
84363,0,3604,-10204,10108,18.98,-620,-332,750
84374,0,4472,-10248,10188,19.12,-922,-715,888
84384,0,4644,-10276,10032,19.12,-1320,-1234,1024
84394,0,4012,-10296,10600,18.98,-1489,-1440,1219
84404,0,3740,-10148,11456,18.98,-1522,-1532,1313
84414,0,3472,-10240,11416,19.07,-1728,-1505,1307
84427,0,3696,-10504,11380,19.02,-2492,-1571,1180
84437,0,3744,-9964,12004,19.07,-2854,-2096,1156
84447,0,3748,-9944,11628,19.07,-3120,-2559,1169
84457,0,4452,-10280,10184,19.02,-3076,-2462,1196
84467,0,4924,-10596,11768,19.07,-2960,-2115,1377
84478,0,5028,-11596,12144,18.98,-3009,-1742,1558
84500,0,4824,-13588,10836,18.98,-3535,-1256,1775
84511,0,4724,-14548,9576,19.07,-3305,-1340,1778
84530,0,5116,-16292,9564,19.12,-2787,-1501,1569
84541,0,4568,-16188,9392,19.07,-2509,-1758,1376
84551,0,3736,-15820,9500,19.07,-1948,-2093,1246
84561,0,3516,-15108,10464,19.02,-1247,-2100,935
84571,0,4104,-14628,11372,19.07,-637,-2019,564
84581,0,5176,-14364,11844,18.98,-419,-1716,404
84591,0,5272,-13836,11176,19.07,-385,-1325,419
84601,0,4416,-13108,11200,19.12,-362,-1221,276
84614,0,4108,-12872,10596,19.07,-290,-1245,88
84624,0,4232,-12444,10732,18.98,-540,-1131,-139
84634,0,4748,-12096,9316,19.07,-440,-1006,-141
84644,0,5344,-11824,8808,19.12,-195,-658,-86
84654,0,5136,-11532,9204,19.07,-47,-296,63
84665,0,5188,-10896,9628,19.12,-18,-128,142
84675,0,5140,-10524,9572,19.07,-175,-16,249
84685,0,4684,-9720,10560,18.93,-524,-190,268
84698,0,3464,-9452,11168,18.98,-642,-411,211
84708,0,3416,-10356,10832,18.98,-717,-95,0
84718,0,4132,-11256,9636,19.02,-686,415,-141
84728,0,5116,-11724,9492,19.02,-604,516,-90
84738,0,5300,-12128,9648,19.02,-556,305,-64
84748,0,4920,-12656,9500,18.98,-450,250,36
84759,0,4836,-12788,8972,19.02,-306,255,116
84769,0,4796,-12228,9540,18.98,-160,77,204
84779,0,4472,-12076,10780,18.98,-131,-211,294
84804,0,4160,-11260,12148,19.02,-353,-282,297
84815,0,4348,-10992,12016,19.07,-515,-338,287
84825,0,4508,-10788,11736,19.02,-720,-213,316
84835,0,4304,-10508,11220,18.93,-904,-203,247
84845,0,4048,-10972,10912,18.98,-1031,-205,168
84855,0,4048,-11272,10924,19.02,-914,-67,145
84865,0,5084,-12128,10108,19.07,-719,17,143
84876,0,5648,-12812,11000,19.02,-599,234,224
84888,0,5560,-13060,12220,19.07,-751,70,274
84898,0,5004,-13268,11696,19.12,-1056,4,172
84909,0,4908,-12912,10844,19.07,-1098,-121,163
84919,0,4884,-12372,10128,19.02,-832,-185,251
84929,0,4848,-12376,10128,18.98,-544,18,242
84939,0,4248,-12484,10324,19.02,-376,259,250
84949,0,4088,-12796,11460,18.98,-294,316,190
84959,0,4332,-12900,11456,19.02,-378,154,105
84972,0,4508,-13280,9592,18.98,-544,24,-46
84983,0,4040,-12992,8620,19.02,-559,-18,-191
84993,0,4124,-12160,8084,19.07,-386,-485,-145
85003,0,4132,-11404,11012,19.07,-654,-1254,-227
85013,0,4104,-10964,11192,19.12,-900,-1819,-219
85023,0,3708,-10912,11132,19.07,-1133,-1754,-277
85034,0,3808,-10860,10972,18.98,-1175,-1541,-410
85044,0,4284,-11580,10124,19.02,-941,-984,-427
85056,0,5108,-13040,9108,19.07,-502,-291,-534
85067,0,5756,-12864,9572,19.12,-489,-370,-507
85077,0,5496,-12556,11368,19.02,-681,-814,-517
85087,0,5328,-12740,11528,19.07,-697,-1099,-507
85110,1,5708,-12436,10076,18.98,-702,-281,-455
85120,1,5476,-11580,10588,18.98,-713,-402,-476
85130,1,4688,-11468,10112,19.07,-557,-162,-513
85141,1,4584,-10988,10316,18.98,-405,202,-417
85152,1,5124,-10168,11084,19.02,-623,-67,-358
85165,1,5020,-10340,11096,19.07,-822,-472,-249
85179,1,4980,-11412,10060,19.02,-505,157,-102
85194,1,5320,-12880,10228,19.17,-223,745,31
85208,1,5672,-13312,11444,18.98,-596,344,39
85223,1,5468,-12672,11200,19.02,-1213,-664,-30
85236,1,5048,-12008,10448,19.02,-1300,-760,60
85249,1,4136,-11764,10724,18.88,-1062,-313,56
85263,1,3856,-12356,10208,19.07,-543,195,115
85285,1,4940,-13632,10568,18.98,-156,-315,180
85295,1,4868,-13132,11992,19.07,-406,-981,170
85304,1,5072,-12560,13028,19.07,-734,-1662,109
85314,1,5104,-12508,12360,19.02,-959,-1757,97
85324,1,4620,-12568,9884,19.02,-955,-925,168
85334,1,4812,-11892,9516,18.93,-491,-321,223
85343,1,4960,-11296,10888,18.98,-503,-542,285
85353,1,5096,-11120,11160,18.98,-949,-1133,346
85366,1,4192,-10640,10084,19.07,-1311,-1453,490
85376,1,3988,-9640,11036,19.07,-1369,-1937,424
85386,1,3972,-9752,11752,19.02,-1269,-2037,426
85396,1,4416,-10500,10912,19.02,-1152,-1450,392
85406,1,4360,-11492,10348,18.98,-866,-602,335
85416,1,4916,-12208,10596,18.98,-622,-81,274
85426,1,5740,-12536,11816,19.02,-585,-168,257
85436,1,5528,-12972,12268,19.02,-651,-412,265
85462,1,4580,-11944,11224,18.98,-1149,-262,102
85472,1,3860,-11168,10712,18.98,-917,-302,-59
85482,1,3348,-11676,9176,19.07,-382,183,-78
85492,1,3552,-12064,8928,18.98,160,683,-64
85502,1,4240,-11888,11192,19.02,289,237,-139
85512,1,4960,-12328,13804,19.02,-187,-560,-324
85522,1,5188,-12904,11068,19.02,-364,-479,-448
85532,1,4244,-12716,10324,19.02,-134,-127,-529
85542,1,4516,-12156,10656,19.02,76,121,-680
85554,1,4236,-11996,10832,19.02,252,192,-755
85565,1,4068,-11652,10944,19.02,175,193,-773
85575,1,4356,-11624,11668,19.02,28,-39,-852
85585,1,4652,-11156,11628,19.02,-277,-229,-891
85595,1,4728,-10780,11216,19.02,-455,-197,-926
85605,1,5024,-10084,10912,19.07,-301,-108,-919
85615,1,4800,-9948,11168,19.02,-117,219,-881
85625,1,4792,-9884,11588,19.02,-209,526,-839
85637,1,4484,-9712,12476,18.93,-393,633,-768
85647,1,4532,-9796,13008,19.07,-380,467,-760
85657,1,4064,-10036,13392,19.17,-450,479,-693
85667,1,4064,-10024,12792,19.07,-485,830,-636
85677,1,3572,-9848,12756,19.07,-235,785,-594
85688,1,2844,-9560,12680,18.98,144,968,-653
85698,1,3200,-10248,12792,19.07,510,1146,-659
85708,1,3552,-9992,13424,19.07,588,966,-519
85720,1,3572,-9632,13772,19.07,603,385,-495
85730,1,3048,-9320,13956,19.02,484,29,-452
85740,1,2956,-9100,13808,19.02,487,-108,-440
85763,1,3312,-8876,14364,19.02,387,-50,-540
85773,1,3820,-9108,14344,18.98,236,47,-535
85784,1,4224,-9120,14168,19.07,136,23,-498
85794,1,3940,-8812,13924,19.02,55,88,-388
85804,1,3460,-8380,13260,19.07,73,71,-337
85814,1,3212,-8048,13672,18.98,-20,74,-320
85826,1,3636,-7756,14252,19.07,-275,-319,-169
85837,1,3160,-7616,14728,18.98,-552,-325,-209
85847,1,3200,-8092,14860,18.98,-826,44,-259
85857,1,3172,-8192,14212,19.02,-785,129,-243
85867,1,3856,-8428,14400,19.07,-678,191,-171
85877,1,3768,-8808,15516,19.02,-565,29,-69
85887,1,3980,-9288,16520,19.07,-687,-186,-6
85898,1,3688,-9660,16576,19.02,-1042,-410,-37
85910,1,3480,-9636,16092,19.02,-1154,-202,-110
85920,1,3572,-9188,15768,19.02,-898,224,-48
85930,1,3280,-8804,15756,19.07,-748,553,-45
85940,1,2972,-8696,15952,18.98,-748,649,-71
85951,1,2468,-8288,15976,19.02,-840,532,-113
85961,1,2780,-8084,16544,19.07,-970,183,-120
85971,1,2780,-8396,16540,18.93,-1241,-136,-165
85981,1,2776,-8596,16036,19.07,-1593,-232,-245
86001,1,2220,-8304,11968,19.02,-1638,20,-415
86011,1,1648,-7736,11480,19.07,-1202,176,-440
86021,1,2244,-6868,13528,19.07,-1010,-415,-373
86031,1,2940,-7264,15668,19.02,-1450,-1157,-302
86042,1,2636,-7736,16680,19.02,-1972,-1661,-374
86052,1,3460,-8360,15636,18.98,-2567,-1489,-556
86075,1,4872,-10564,11972,18.93,-2188,180,-670
86085,1,4692,-10836,10388,18.98,-1320,678,-454
86097,1,4968,-11380,13724,19.07,-864,428,-199
86108,1,4844,-12432,14748,18.98,-1014,25,-114
86118,1,4268,-13184,14536,19.02,-1248,-329,-190
86128,1,4180,-13004,14304,19.02,-1051,-225,-364
86138,1,4668,-12852,15352,18.98,-826,35,-484
86148,1,4120,-12884,15136,19.02,-748,238,-580
86159,1,3636,-12032,14588,18.98,-717,559,-716
86169,1,3776,-11028,13948,19.02,-424,558,-671
86179,1,3876,-10676,14008,18.98,-108,444,-521
86192,1,3256,-10688,14148,18.88,114,250,-374
86202,1,4052,-10552,14812,18.98,43,-19,-348
86212,1,3716,-10120,15400,19.07,-222,-437,-420
86222,1,3368,-9640,15048,19.07,-517,-512,-433
86233,1,2900,-8740,14608,18.93,-940,-378,-513
86243,1,2600,-7824,13512,18.98,-1192,-246,-621
86253,1,2416,-6868,12608,18.98,-1155,-148,-506
86263,1,2616,-6180,11924,19.02,-816,-110,-340
86276,1,3060,-6672,13072,18.98,-673,-361,-156
86286,1,2736,-7332,14540,19.02,-1027,-767,-66
86296,1,2392,-7692,14484,18.98,-1555,-1004,-134
86306,1,2656,-7596,14260,19.02,-1582,-877,-234
86317,1,2804,-7452,14980,18.98,-1550,-837,-185
86327,1,2708,-7420,16172,19.02,-1596,-541,-212
86337,1,2948,-7352,15860,18.98,-1828,-342,-262
86347,1,2632,-7908,14164,19.02,-1699,194,-263
86373,1,3448,-9348,15180,19.02,-1021,428,-264
86383,1,3200,-10472,13672,18.98,-959,308,-391
86393,1,3276,-10528,13188,19.07,-545,388,-523
86404,1,4100,-10548,14736,19.02,-266,190,-583
86414,1,4440,-11176,15156,18.98,-404,152,-606
86424,1,4412,-11012,15148,18.98,-535,435,-615
86434,1,3924,-10232,14796,18.93,-530,841,-602
86445,1,3828,-9780,14740,19.02,-624,1219,-693
86457,1,3352,-9532,13808,19.07,-661,1579,-757
86468,1,3440,-9312,14088,18.98,-717,1626,-798
86478,1,3688,-9324,15100,18.93,-921,1282,-828
86488,1,3460,-9632,14800,19.02,-1129,1160,-841
86498,1,3104,-9604,14176,19.12,-1235,1230,-840
86508,1,3052,-9336,13604,18.98,-1061,1347,-842
86519,1,2696,-9128,13680,19.02,-1105,1245,-827
86529,1,2552,-8776,13312,19.02,-1230,1189,-935
86539,1,2580,-8476,13680,18.98,-1335,961,-1041
86552,1,2804,-8004,14096,19.07,-1350,847,-1010
86562,1,2756,-7820,14988,19.02,-1444,876,-1016
86572,1,2484,-8080,14540,19.02,-1629,948,-1037
86583,1,2444,-8256,13520,19.07,-1529,1246,-1135
86594,1,2644,-8068,14008,19.02,-1380,1360,-1156
86604,1,2636,-8076,13744,19.02,-1206,1110,-1122
86614,1,2640,-8356,13292,19.02,-1075,1026,-1079
86624,1,2780,-8632,13128,19.07,-878,973,-1041
86638,1,3336,-9700,13844,19.07,-612,793,-927
86652,1,3512,-10588,14520,19.07,-498,832,-944
86667,1,3536,-11104,14876,19.07,-462,851,-940
86681,1,3692,-10788,14576,18.98,-530,887,-894
86696,1,3132,-10284,13676,19.07,-406,1032,-831
86721,1,3264,-10040,15924,19.12,-541,328,-659
86766,1,2404,-8832,14704,19.07,-960,378,-303
86778,1,2464,-8868,14596,19.07,-926,-22,-285
86801,1,2432,-9072,14468,19.07,-1015,-979,-90
86811,1,2384,-8984,13848,19.12,-986,-1319,3
86820,1,2684,-8988,13160,19.07,-899,-1503,46
86830,1,2932,-8716,13268,18.98,-762,-1591,135
86840,1,3432,-8992,13284,19.02,-675,-1775,246
86850,1,3660,-9396,13248,19.02,-704,-1778,336
86859,1,4220,-9596,13500,19.07,-789,-1703,415
86869,1,4320,-9688,14176,19.07,-883,-1648,471
86881,1,4288,-9604,14464,19.02,-976,-1382,518
86891,1,3880,-9240,13828,18.93,-1075,-1100,465
86901,1,3544,-8948,13640,19.02,-1061,-803,434
86911,1,3428,-8728,13548,18.93,-969,-629,466
86921,1,3428,-8816,13748,18.93,-961,-629,454
86931,1,3624,-9164,13360,18.98,-957,-634,500
86941,1,3740,-9220,13136,19.07,-900,-604,556
86951,1,3876,-9364,13764,18.98,-823,-584,583
86961,1,4244,-9624,14460,19.07,-809,-565,590
86974,1,4252,-10076,14368,18.98,-987,-308,515
86984,1,4132,-9956,14168,18.98,-1012,75,409
86995,1,4092,-9596,14272,19.02,-949,347,300
87005,1,3804,-9304,14732,18.98,-995,420,215
87015,1,3460,-9216,14516,18.98,-1178,378,93
87025,1,3240,-9140,14144,18.88,-1269,493,14
87035,1,3436,-9040,14388,18.98,-1209,680,-14
87045,1,4056,-9132,15100,18.93,-1266,731,-2
87071,1,4420,-9264,15152,18.98,-2092,1157,36
87081,1,4360,-8760,15232,18.93,-2273,1866,-54
87091,1,4352,-8888,14156,18.93,-2189,2464,-160
87101,1,3908,-9220,14136,18.93,-2162,2827,-240
87111,1,3448,-9652,13416,19.07,-2106,3158,-368
87122,1,3288,-9712,13592,18.98,-2020,3583,-577
87132,1,3248,-10092,13896,19.02,-2041,3766,-786
87142,1,2996,-10268,13780,18.93,-2065,3805,-996
87154,1,2752,-10296,14076,18.98,-2106,3897,-1198
87164,1,2596,-9936,13376,19.02,-2264,4057,-1382
87175,1,2272,-9612,13220,18.98,-2199,4381,-1558
87185,1,2456,-9284,13076,19.02,-2090,4581,-1735
87195,1,2636,-9292,13088,18.98,-2033,4671,-1826
87205,1,2928,-9468,13008,19.02,-2040,4806,-1956
87215,1,2772,-9736,13136,18.98,-2083,4914,-2079
87226,1,2800,-10084,13596,19.07,-2084,4865,-2126
87238,1,2224,-10780,13696,18.98,-2132,4874,-2213
87248,1,2024,-11140,13052,19.02,-2012,4951,-2275
87258,1,2072,-11268,12816,19.07,-1674,4916,-2311
87269,1,2152,-11224,12936,19.02,-1324,4829,-2353
87279,1,2088,-11348,13772,18.93,-1076,4562,-2307
87289,1,1812,-11448,13804,19.07,-1147,4274,-2289
87299,1,1252,-11188,13492,19.02,-1226,3977,-2210
87309,1,676,-10736,13080,19.02,-1087,3604,-2104
87319,1,36,-10572,12672,18.98,-908,3189,-2007
87332,1,28,-10108,12868,18.88,-730,2297,-1992
87342,1,240,-9788,13492,19.02,-673,1486,-2019
87365,1,1012,-9268,13356,19.07,-816,-237,-1820
87375,1,1256,-9140,13092,18.93,-706,-676,-1607
87385,1,1520,-8952,13480,18.98,-709,-1088,-1355
87395,1,1996,-8800,13668,19.07,-661,-1498,-1051
87406,1,2192,-8912,13856,19.02,-690,-1943,-765
87416,1,2332,-9152,14560,19.07,-789,-2321,-404
87429,1,2620,-8996,14984,18.98,-1049,-2831,-66
87439,1,3072,-9044,14696,18.93,-1227,-3142,169
87449,1,2972,-9068,14356,19.07,-1309,-3280,370
87459,1,2764,-9196,14332,18.98,-1320,-3272,479
87469,1,2944,-9528,14008,19.07,-1267,-3312,597
87479,1,3396,-9748,13920,19.02,-1281,-3368,713
87489,1,3476,-10084,13852,19.02,-1263,-3396,808
87500,1,3660,-10368,13960,18.98,-1249,-3431,910
87519,1,3504,-10612,13452,18.98,-1195,-2942,962
87529,1,3872,-10620,13184,19.12,-1172,-2656,912
